G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,7:30p ET,,Box Score,,Detroit Pistons,W,,109,91,1,0,W 1,
2,Fri Oct 28 2016,7:00p ET,,Box Score,,Cleveland Cavaliers,L,,91,94,1,1,L 1,
3,Mon Oct 31 2016,7:30p ET,,Box Score,,Denver Nuggets,W,,105,102,2,1,W 1,
4,Wed Nov 2 2016,7:00p ET,,Box Score,@,Washington Wizards,W,,113,103,3,1,W 2,
5,Fri Nov 4 2016,7:30p ET,,Box Score,,Miami Heat,W,,96,87,4,1,W 3,
6,Sun Nov 6 2016,6:00p ET,,Box Score,,Sacramento Kings,L,,91,96,4,2,L 1,
7,Wed Nov 9 2016,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,112,102,5,2,W 1,
8,Fri Nov 11 2016,7:00p ET,,Box Score,@,Charlotte Hornets,W,,113,111,6,2,W 2,
9,Sat Nov 12 2016,7:30p ET,,Box Score,,New York Knicks,W,,118,107,7,2,W 3,
10,Tue Nov 15 2016,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,117,121,7,3,L 1,
11,Wed Nov 16 2016,8:00p ET,,Box Score,,Golden State Warriors,L,,121,127,7,4,L 2,
12,Fri Nov 18 2016,9:00p ET,,Box Score,@,Denver Nuggets,W,OT,113,111,8,4,W 1,
13,Sun Nov 20 2016,9:00p ET,,Box Score,@,Sacramento Kings,L,,99,102,8,5,L 1,
14,Mon Nov 21 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,115,123,8,6,L 2,
15,Wed Nov 23 2016,8:00p ET,,Box Score,@,Houston Rockets,W,,115,102,9,6,W 1,
16,Fri Nov 25 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,105,99,10,6,W 2,
17,Mon Nov 28 2016,7:30p ET,,Box Score,,Philadelphia 76ers,W,,122,95,11,6,W 3,
18,Wed Nov 30 2016,7:30p ET,,Box Score,,Memphis Grizzlies,W,,120,105,12,6,W 4,
19,Fri Dec 2 2016,7:30p ET,,Box Score,,Los Angeles Lakers,W,,113,80,13,6,W 5,
20,Sat Dec 3 2016,7:30p ET,,Box Score,,Atlanta Hawks,W,,128,84,14,6,W 6,
21,Mon Dec 5 2016,7:30p ET,,Box Score,,Cleveland Cavaliers,L,,112,116,14,7,L 1,
22,Thu Dec 8 2016,7:00p ET,,Box Score,,Minnesota Timberwolves,W,,124,110,15,7,W 1,
23,Fri Dec 9 2016,7:30p ET,,Box Score,@,Boston Celtics,W,,101,94,16,7,W 2,
24,Mon Dec 12 2016,7:30p ET,,Box Score,,Milwaukee Bucks,W,,122,100,17,7,W 3,
25,Wed Dec 14 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,123,114,18,7,W 4,
26,Fri Dec 16 2016,7:30p ET,,Box Score,,Atlanta Hawks,L,,121,125,18,8,L 1,
27,Sun Dec 18 2016,6:00p ET,,Box Score,@,Orlando Magic,W,,109,79,19,8,W 1,
28,Tue Dec 20 2016,7:30p ET,,Box Score,,Brooklyn Nets,W,,116,104,20,8,W 2,
29,Fri Dec 23 2016,9:00p ET,,Box Score,@,Utah Jazz,W,,104,98,21,8,W 3,
30,Mon Dec 26 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,95,91,22,8,W 4,
31,Wed Dec 28 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,111,121,22,9,L 1,
32,Thu Dec 29 2016,9:00p ET,,Box Score,@,Phoenix Suns,L,,91,99,22,10,L 2,
33,Sun Jan 1 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,123,114,23,10,W 1,
34,Tue Jan 3 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,82,110,23,11,L 1,
35,Thu Jan 5 2017,7:30p ET,,Box Score,,Utah Jazz,W,,101,93,24,11,W 1,
36,Sat Jan 7 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,OT,118,123,24,12,L 1,
37,Sun Jan 8 2017,6:00p ET,,Box Score,,Houston Rockets,L,,122,129,24,13,L 2,
38,Tue Jan 10 2017,7:30p ET,,Box Score,,Boston Celtics,W,,114,106,25,13,W 1,
39,Fri Jan 13 2017,7:30p ET,,Box Score,,Brooklyn Nets,W,,132,113,26,13,W 2,
40,Sun Jan 15 2017,3:00p ET,,Box Score,,New York Knicks,W,,116,101,27,13,W 3,
41,Tue Jan 17 2017,7:30p ET,,Box Score,@,Brooklyn Nets,W,,119,109,28,13,W 4,
42,Wed Jan 18 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,89,94,28,14,L 1,
43,Fri Jan 20 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,78,113,28,15,L 2,
44,Sun Jan 22 2017,6:00p ET,,Box Score,,Phoenix Suns,L,,103,115,28,16,L 3,
45,Tue Jan 24 2017,7:00p ET,,Box Score,,San Antonio Spurs,L,,106,108,28,17,L 4,
46,Wed Jan 25 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,99,101,28,18,L 5,
47,Fri Jan 27 2017,7:30p ET,,Box Score,,Milwaukee Bucks,W,,102,86,29,18,W 1,
48,Sun Jan 29 2017,6:00p ET,,Box Score,,Orlando Magic,L,,113,114,29,19,L 1,
49,Tue Jan 31 2017,7:00p ET,,Box Score,,New Orleans Pelicans,W,OT,108,106,30,19,W 1,
50,Wed Feb 1 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,104,109,30,20,L 1,
51,Fri Feb 3 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,94,102,30,21,L 2,
52,Sun Feb 5 2017,12:00p ET,,Box Score,@,Brooklyn Nets,W,,103,95,31,21,W 1,
53,Mon Feb 6 2017,7:30p ET,,Box Score,,Los Angeles Clippers,W,,118,109,32,21,W 2,
54,Wed Feb 8 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,109,112,32,22,L 1,
55,Sun Feb 12 2017,6:00p ET,,Box Score,,Detroit Pistons,L,,101,102,32,23,L 2,
56,Tue Feb 14 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,,94,105,32,24,L 3,
57,Wed Feb 15 2017,7:30p ET,,Box Score,,Charlotte Hornets,W,,90,85,33,24,W 1,
58,Fri Feb 24 2017,8:00p ET,,Box Score,,Boston Celtics,W,,107,97,34,24,W 2,
59,Sun Feb 26 2017,6:00p ET,,Box Score,,Portland Trail Blazers,W,,112,106,35,24,W 3,
60,Mon Feb 27 2017,7:00p ET,,Box Score,@,New York Knicks,W,,92,91,36,24,W 4,
61,Wed Mar 1 2017,7:30p ET,,Box Score,,Washington Wizards,L,,96,105,36,25,L 1,
62,Fri Mar 3 2017,7:00p ET,,Box Score,@,Washington Wizards,W,,114,106,37,25,W 1,
63,Sat Mar 4 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,94,101,37,26,L 1,
64,Wed Mar 8 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,94,87,38,26,W 1,
65,Fri Mar 10 2017,8:00p ET,,Box Score,@,Atlanta Hawks,L,,99,105,38,27,L 1,
66,Sat Mar 11 2017,8:00p ET,,Box Score,@,Miami Heat,L,,89,104,38,28,L 2,
67,Mon Mar 13 2017,7:30p ET,,Box Score,,Dallas Mavericks,W,,100,78,39,28,W 1,
68,Thu Mar 16 2017,7:00p ET,,Box Score,,Oklahoma City Thunder,L,,102,123,39,29,L 1,
69,Fri Mar 17 2017,7:30p ET,,Box Score,@,Detroit Pistons,W,,87,75,40,29,W 1,
70,Sun Mar 19 2017,6:00p ET,,Box Score,,Indiana Pacers,W,,116,91,41,29,W 2,
71,Tue Mar 21 2017,7:00p ET,,Box Score,,Chicago Bulls,W,OT,122,120,42,29,W 3,
72,Thu Mar 23 2017,7:30p ET,,Box Score,@,Miami Heat,W,,101,84,43,29,W 4,
73,Sat Mar 25 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,94,86,44,29,W 5,
74,Mon Mar 27 2017,7:30p ET,,Box Score,,Orlando Magic,W,,131,112,45,29,W 6,
75,Wed Mar 29 2017,7:30p ET,,Box Score,,Charlotte Hornets,L,,106,110,45,30,L 1,
76,Fri Mar 31 2017,7:00p ET,,Box Score,,Indiana Pacers,W,,111,100,46,30,W 1,
77,Sun Apr 2 2017,6:00p ET,,Box Score,,Philadelphia 76ers,W,,113,105,47,30,W 2,
78,Tue Apr 4 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,90,108,47,31,L 1,
79,Wed Apr 5 2017,7:30p ET,,Box Score,@,Detroit Pistons,W,,105,102,48,31,W 1,
80,Fri Apr 7 2017,7:30p ET,,Box Score,,Miami Heat,W,,96,94,49,31,W 2,
81,Sun Apr 9 2017,12:00p ET,,Box Score,@,New York Knicks,W,,110,97,50,31,W 3,
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,Cleveland Cavaliers,W,,98,83,51,31,W 4,
