G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,OT,121,130,0,1,L 1,
2,Fri Oct 28 2016,8:30p ET,,Box Score,,Houston Rockets,L,,98,106,0,2,L 2,
3,Sun Oct 30 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,92,93,0,3,L 3,
4,Wed Nov 2 2016,9:00p ET,,Box Score,@,Utah Jazz,L,,81,97,0,4,L 4,
5,Fri Nov 4 2016,8:30p ET,,Box Score,,Portland Trail Blazers,L,,95,105,0,5,L 5,
6,Sun Nov 6 2016,7:00p ET,,Box Score,,Milwaukee Bucks,W,OT,86,75,1,5,W 1,
7,Tue Nov 8 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,109,97,2,5,W 2,
8,Wed Nov 9 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,95,116,2,6,L 1,
9,Mon Nov 14 2016,7:30p ET,,Box Score,@,New York Knicks,L,,77,93,2,7,L 2,
10,Wed Nov 16 2016,7:30p ET,,Box Score,@,Boston Celtics,L,,83,90,2,8,L 3,
11,Fri Nov 18 2016,8:30p ET,,Box Score,,Memphis Grizzlies,L,,64,80,2,9,L 4,
12,Sat Nov 19 2016,7:00p ET,,Box Score,@,Orlando Magic,L,,87,95,2,10,L 5,
13,Mon Nov 21 2016,8:30p ET,,Box Score,@,San Antonio Spurs,L,,91,96,2,11,L 6,
14,Wed Nov 23 2016,8:30p ET,,Box Score,,Los Angeles Clippers,L,,104,124,2,12,L 7,
15,Fri Nov 25 2016,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,90,128,2,13,L 8,
16,Sun Nov 27 2016,7:00p ET,,Box Score,,New Orleans Pelicans,W,,91,81,3,13,W 1,
17,Wed Nov 30 2016,8:30p ET,,Box Score,,San Antonio Spurs,L,,87,94,3,14,L 1,
18,Thu Dec 1 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,87,97,3,15,L 2,
19,Sat Dec 3 2016,8:30p ET,,Box Score,,Chicago Bulls,W,,107,82,4,15,W 1,
20,Mon Dec 5 2016,8:30p ET,,Box Score,,Charlotte Hornets,L,,101,109,4,16,L 1,
21,Wed Dec 7 2016,8:30p ET,,Box Score,,Sacramento Kings,L,,89,120,4,17,L 2,
22,Fri Dec 9 2016,8:30p ET,,Box Score,,Indiana Pacers,W,,111,103,5,17,W 1,
23,Sat Dec 10 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,87,109,5,18,L 1,
24,Mon Dec 12 2016,8:30p ET,,Box Score,,Denver Nuggets,W,,112,92,6,18,W 1,
25,Wed Dec 14 2016,8:30p ET,,Box Score,,Detroit Pistons,L,,85,95,6,19,L 1,
26,Fri Dec 16 2016,10:30p ET,,Box Score,@,Utah Jazz,L,,100,103,6,20,L 2,
27,Sun Dec 18 2016,4:00p ET,,Box Score,,Sacramento Kings,W,,99,79,7,20,W 1,
28,Mon Dec 19 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,107,117,7,21,L 1,
29,Wed Dec 21 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,96,95,8,21,W 1,
30,Fri Dec 23 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,90,88,9,21,W 2,
31,Mon Dec 26 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,104,111,9,22,L 1,
32,Tue Dec 27 2016,8:30p ET,,Box Score,,Houston Rockets,L,,107,123,9,23,L 2,
33,Thu Dec 29 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,101,89,10,23,W 1,
